Date,Open,High,Low,Close,Adj Close,Volume
1/3/1962,7.291268,7.355003,7.291268,7.355003,1.647308,305955
1/4/1962,7.355003,7.355003,7.278521,7.281708,1.630892,274575
1/5/1962,7.272148,7.272148,7.125558,7.138305,1.598774,384405
1/8/1962,7.131931,7.131931,6.9471,7.004461,1.568797,572685
1/9/1962,7.036329,7.176546,7.036329,7.087317,1.587354,517770
1/10/1962,7.100064,7.131931,7.100064,7.100064,1.59021,313800
1/11/1962,7.119184,7.176546,7.119184,7.176546,1.607339,337335
1/12/1962,7.189293,7.24028,7.189293,7.189293,1.610194,462855
1/15/1962,7.214786,7.237094,7.214786,7.22116,1.617331,266730
1/16/1962,7.214786,7.214786,7.144678,7.144678,1.600202,266730
1/17/1962,7.112811,7.112811,7.010835,7.029955,1.574506,439320
1/18/1962,7.049076,7.119184,7.049076,7.049076,1.578789,392250
1/19/1962,7.049076,7.068196,6.972594,7.055449,1.580218,423630
1/22/1962,7.055449,7.125558,7.036329,7.042702,1.577361,290265
1/23/1962,7.039516,7.049076,6.959847,6.972594,1.56166,392250
1/24/1962,6.972594,7.010835,6.93754,7.010835,1.570225,431475
1/25/1962,7.010835,7.068196,6.921606,6.934353,1.553095,337335
1/26/1962,6.934353,6.959847,6.896112,6.899299,1.545243,258885
1/29/1962,6.899299,6.9471,6.781389,6.781389,1.518836,611910
1/30/1962,6.781389,6.81963,6.695347,6.695347,1.499564,776655
1/31/1962,6.762269,6.908859,6.762269,6.908859,1.547385,800190
2/1/1962,6.978967,7.087317,6.978967,7.068196,1.583072,674670
2/2/1962,7.068196,7.112811,7.036329,7.112811,1.593065,533460
2/5/1962,7.112811,7.112811,6.985341,7.023582,1.573079,329490
2/6/1962,7.023582,7.036329,6.998088,7.029955,1.574722,274575
2/7/1962,7.036329,7.07457,7.036329,7.036329,1.57615,266730
2/8/1962,7.036329,7.07457,7.036329,7.042702,1.577577,23535
2/9/1962,7.042702,7.09369,7.010835,7.09369,1.588998,455010
2/12/1962,7.09369,7.151052,7.087317,7.100064,1.590426,298110
2/13/1962,7.100064,7.106437,6.985341,6.985341,1.564727,274575
2/14/1962,6.985341,7.010835,6.959847,6.972594,1.561872,219660
2/15/1962,6.972594,6.972594,6.940727,6.9471,1.556162,243195
2/16/1962,6.9471,6.972594,6.940727,6.940727,1.554734,235350
2/19/1962,6.940727,6.972594,6.857871,6.870618,1.53903,298110
2/20/1962,6.873805,6.908859,6.873805,6.873805,1.539743,305955
2/21/1962,6.873805,6.921606,6.822817,6.822817,1.528322,384405
2/23/1962,6.832377,6.857871,6.832377,6.845124,1.533319,305955
2/26/1962,6.845124,6.851498,6.806883,6.81963,1.527608,313800
2/27/1962,6.81963,6.876992,6.781389,6.832377,1.530464,368715
2/28/1962,6.832377,6.845124,6.794136,6.845124,1.533319,282420
3/1/1962,6.870618,6.92798,6.870618,6.92798,1.551879,298110
3/2/1962,6.985341,7.023582,6.985341,6.985341,1.564727,258885
3/5/1962,6.985341,6.985341,6.934353,6.959847,1.559017,376560
3/6/1962,6.959847,6.991714,6.9471,6.966221,1.560444,196125
3/7/1962,6.966221,6.988528,6.9471,6.988528,1.565441,133365
3/8/1962,6.988528,7.004461,6.9471,7.004461,1.569011,196125
3/9/1962,7.010835,7.049076,7.010835,7.049076,1.579004,305955
3/12/1962,7.049076,7.068196,7.023582,7.042702,1.577577,298110
3/13/1962,7.042702,7.042702,7.010835,7.036329,1.57615,133365
3/14/1962,7.036329,7.055449,7.010835,7.023582,1.573294,211815
3/15/1962,7.023582,7.061823,7.010835,7.010835,1.570439,258885
3/16/1962,7.010835,7.042702,7.010835,7.042702,1.577577,172590
3/19/1962,7.055449,7.087317,7.055449,7.061823,1.581859,392250
3/20/1962,7.049076,7.049076,7.017208,7.017208,1.571866,172590
3/21/1962,7.017208,7.036329,6.998088,7.023582,1.573294,274575
3/22/1962,6.998088,6.998088,6.9471,6.9471,1.556162,251040
3/23/1962,6.953474,6.985341,6.953474,6.972594,1.561872,196125
3/26/1962,6.972594,6.998088,6.959847,6.969407,1.561159,141210
3/27/1962,6.953474,6.953474,6.832377,6.838751,1.531892,368715
3/28/1962,6.845124,6.896112,6.845124,6.876992,1.540457,345180
3/29/1962,6.876992,6.908859,6.857871,6.857871,1.536174,243195
3/30/1962,6.845124,6.845124,6.759082,6.79095,1.521184,462855
